index,index,1. open,2. high,3. low,4. close,5. volume
0,2021-11-03 16:00:00,20.2452,20.248,20.17,20.17,2091.0
1,2021-11-03 15:59:00,20.225,20.225,20.225,20.225,150.0
2,2021-11-03 15:58:00,20.225,20.225,20.225,20.225,250.0
3,2021-11-03 15:57:00,20.2488,20.2488,20.2488,20.2488,754.0
4,2021-11-03 15:56:00,20.22,20.22,20.22,20.22,891.0
5,2021-11-03 15:55:00,20.22,20.22,20.22,20.22,200.0
6,2021-11-03 15:49:00,20.2388,20.2388,20.2388,20.2388,250.0
7,2021-11-03 15:47:00,20.2399,20.2399,20.2399,20.2399,100.0
8,2021-11-03 15:44:00,20.2281,20.2281,20.2281,20.2281,100.0
9,2021-11-03 15:36:00,20.23,20.23,20.23,20.23,100.0
10,2021-11-03 15:35:00,20.228,20.228,20.228,20.228,300.0
11,2021-11-03 15:33:00,20.23,20.23,20.2284,20.2284,500.0
12,2021-11-03 15:32:00,20.23,20.23,20.23,20.23,100.0
13,2021-11-03 15:30:00,20.185,20.185,20.185,20.185,100.0
14,2021-11-03 15:17:00,20.22,20.22,20.22,20.22,202.0
15,2021-11-03 15:16:00,20.22,20.22,20.22,20.22,900.0
16,2021-11-03 15:15:00,20.21,20.22,20.15,20.22,2224.0
17,2021-11-03 15:14:00,20.18,20.21,20.15,20.21,6050.0
18,2021-11-03 15:06:00,20.17,20.17,20.17,20.17,350.0
19,2021-11-03 14:57:00,20.2,20.2,20.189,20.189,580.0
20,2021-11-03 14:37:00,20.08,20.08,20.07,20.07,6704.0
21,2021-11-03 14:34:00,20.07,20.07,20.07,20.07,666.0
22,2021-11-03 14:25:00,20.099,20.099,20.05,20.05,300.0
23,2021-11-03 14:23:00,20.099,20.099,20.099,20.099,125.0
24,2021-11-03 14:12:00,20.075,20.1,20.075,20.1,3368.0
25,2021-11-03 14:02:00,20.01,20.045,20.01,20.045,3860.0
26,2021-11-03 14:01:00,20.01,20.01,20.01,20.01,526.0
27,2021-11-03 13:59:00,20.03,20.03,20.01,20.01,4568.0
28,2021-11-03 13:58:00,20.06,20.06,20.06,20.06,240.0
29,2021-11-03 13:44:00,20.05,20.05,20.05,20.05,249.0
30,2021-11-03 13:41:00,20.07,20.07,20.07,20.07,250.0
31,2021-11-03 13:27:00,20.075,20.075,20.075,20.075,160.0
32,2021-11-03 13:22:00,20.075,20.075,20.075,20.075,205.0
33,2021-11-03 13:16:00,20.014,20.014,20.01,20.01,570.0
34,2021-11-03 13:13:00,20.01,20.01,20.01,20.01,15486.0
35,2021-11-03 12:49:00,20.04,20.04,20.01,20.01,8251.0
